id,word           ,freq.,cap_lower,cap_upper,cap_title,cap_other
0 ,and            ,3790 ,10       ,79       ,0
1 ,no             ,141  ,12       ,47       ,0
2 ,executive boxes,7    ,0        ,0        ,0
3 ,are            ,750  ,0        ,0        ,0
4 ,of             ,3943 ,7        ,22       ,2
5 ,used to be     ,1    ,0        ,0        ,0
6 ,the            ,7079 ,13       ,935      ,0
7 ,people         ,186  ,0        ,18       ,0
8 ,People         ,0    ,0        ,3        ,0
9 ,Church         ,0    ,0        ,3        ,0
10,church         ,13   ,0        ,0        ,0
